"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"0603C";1;"0.1uF";;;
2;"K4,K3";"easyC-connector";2;"easyC-SMD";;;
3;"R2,R3,R1";"0603R";3;"10k";;;
4;",,,,,,,,,,,,,,,,,,,,";"buzzardLabel";21;"";;;
5;"JP1";"SMD_JUMPER_3_PAD_TRACE";1;"SMD_JUMPER_3_PAD_TRACE";;;
6;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
9;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
10;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
11;"JP2";"SMD_JUMPER_CONNECTED";1;"0x48";;;
12;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
13;"JP3";"SMD_JUMPER";1;"0x49";;;
14;"JP4";"SMD_JUMPER";1;"0x4A";;;
15;"JP5";"SMD_JUMPER";1;"0x4B";;;
16;"U1";"VSSOP";1;"ADS1115";;;
17;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
18;"K5";"HEADER_MALE_1X1";1;"HEADER_MALE_1X1";;;
19;"K1";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
20;"G***";"Symbol-Front-Voltmeter";1;"LOGO";;;
21;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
22;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
